GAME_ID,HOME/AWAY,WL,MIN_TEAM,PTS_TEAM,FGM_TEAM,FGA_TEAM,FG_PCT_TEAM,FG3M_TEAM,FG3A_TEAM,FG3_PCT_TEAM,FTM_TEAM,FTA_TEAM,FT_PCT_TEAM,OREB_TEAM,DREB_TEAM,REB_TEAM,AST_TEAM,STL_TEAM,BLK_TEAM,TOV_PCT_TEAM,PF_TEAM,PLUS_MINUS_TEAM,FGM_AJ Green,FGM_Bobby Portis,FGM_Brook Lopez,FGM_George Hill,FGM_Giannis Antetokounmpo,FGM_Grayson Allen,FGM_Jevon Carter,FGM_Joe Ingles,FGM_Jordan Nwora,FGM_Jrue Holiday,FGM_Khris Middleton,FGM_MarJon Beauchamp,FGM_Pat Connaughton,FGM_Sandro Mamukelashvili,FGM_Serge Ibaka,FGM_Thanasis Antetokounmpo,FGM_Wesley Matthews,FGA_AJ Green,FGA_Bobby Portis,FGA_Brook Lopez,FGA_George Hill,FGA_Giannis Antetokounmpo,FGA_Grayson Allen,FGA_Jevon Carter,FGA_Joe Ingles,FGA_Jordan Nwora,FGA_Jrue Holiday,FGA_Khris Middleton,FGA_MarJon Beauchamp,FGA_Pat Connaughton,FGA_Sandro Mamukelashvili,FGA_Serge Ibaka,FGA_Thanasis Antetokounmpo,FGA_Wesley Matthews,FG_PCT_AJ Green,FG_PCT_Bobby Portis,FG_PCT_Brook Lopez,FG_PCT_George Hill,FG_PCT_Giannis Antetokounmpo,FG_PCT_Grayson Allen,FG_PCT_Jevon Carter,FG_PCT_Joe Ingles,FG_PCT_Jordan Nwora,FG_PCT_Jrue Holiday,FG_PCT_Khris Middleton,FG_PCT_MarJon Beauchamp,FG_PCT_Pat Connaughton,FG_PCT_Sandro Mamukelashvili,FG_PCT_Serge Ibaka,FG_PCT_Thanasis Antetokounmpo,FG_PCT_Wesley Matthews,FG3M_AJ Green,FG3M_Bobby Portis,FG3M_Brook Lopez,FG3M_George Hill,FG3M_Giannis Antetokounmpo,FG3M_Grayson Allen,FG3M_Jevon Carter,FG3M_Joe Ingles,FG3M_Jordan Nwora,FG3M_Jrue Holiday,FG3M_Khris Middleton,FG3M_MarJon Beauchamp,FG3M_Pat Connaughton,FG3M_Sandro Mamukelashvili,FG3M_Serge Ibaka,FG3M_Thanasis Antetokounmpo,FG3M_Wesley Matthews,FG3A_AJ Green,FG3A_Bobby Portis,FG3A_Brook Lopez,FG3A_George Hill,FG3A_Giannis Antetokounmpo,FG3A_Grayson Allen,FG3A_Jevon Carter,FG3A_Joe Ingles,FG3A_Jordan Nwora,FG3A_Jrue Holiday,FG3A_Khris Middleton,FG3A_MarJon Beauchamp,FG3A_Pat Connaughton,FG3A_Sandro Mamukelashvili,FG3A_Serge Ibaka,FG3A_Thanasis Antetokounmpo,FG3A_Wesley Matthews,FG3_PCT_AJ Green,FG3_PCT_Bobby Portis,FG3_PCT_Brook Lopez,FG3_PCT_George Hill,FG3_PCT_Giannis Antetokounmpo,FG3_PCT_Grayson Allen,FG3_PCT_Jevon Carter,FG3_PCT_Joe Ingles,FG3_PCT_Jordan Nwora,FG3_PCT_Jrue Holiday,FG3_PCT_Khris Middleton,FG3_PCT_MarJon Beauchamp,FG3_PCT_Pat Connaughton,FG3_PCT_Sandro Mamukelashvili,FG3_PCT_Serge Ibaka,FG3_PCT_Thanasis Antetokounmpo,FG3_PCT_Wesley Matthews,FTM_AJ Green,FTM_Bobby Portis,FTM_Brook Lopez,FTM_George Hill,FTM_Giannis Antetokounmpo,FTM_Grayson Allen,FTM_Jevon Carter,FTM_Joe Ingles,FTM_Jordan Nwora,FTM_Jrue Holiday,FTM_Khris Middleton,FTM_MarJon Beauchamp,FTM_Pat Connaughton,FTM_Sandro Mamukelashvili,FTM_Serge Ibaka,FTM_Thanasis Antetokounmpo,FTM_Wesley Matthews,FTA_AJ Green,FTA_Bobby Portis,FTA_Brook Lopez,FTA_George Hill,FTA_Giannis Antetokounmpo,FTA_Grayson Allen,FTA_Jevon Carter,FTA_Joe Ingles,FTA_Jordan Nwora,FTA_Jrue Holiday,FTA_Khris Middleton,FTA_MarJon Beauchamp,FTA_Pat Connaughton,FTA_Sandro Mamukelashvili,FTA_Serge Ibaka,FTA_Thanasis Antetokounmpo,FTA_Wesley Matthews,FT_PCT_AJ Green,FT_PCT_Bobby Portis,FT_PCT_Brook Lopez,FT_PCT_George Hill,FT_PCT_Giannis Antetokounmpo,FT_PCT_Grayson Allen,FT_PCT_Jevon Carter,FT_PCT_Joe Ingles,FT_PCT_Jordan Nwora,FT_PCT_Jrue Holiday,FT_PCT_Khris Middleton,FT_PCT_MarJon Beauchamp,FT_PCT_Pat Connaughton,FT_PCT_Sandro Mamukelashvili,FT_PCT_Serge Ibaka,FT_PCT_Thanasis Antetokounmpo,FT_PCT_Wesley Matthews,OREB_AJ Green,OREB_Bobby Portis,OREB_Brook Lopez,OREB_George Hill,OREB_Giannis Antetokounmpo,OREB_Grayson Allen,OREB_Jevon Carter,OREB_Joe Ingles,OREB_Jordan Nwora,OREB_Jrue Holiday,OREB_Khris Middleton,OREB_MarJon Beauchamp,OREB_Pat Connaughton,OREB_Sandro Mamukelashvili,OREB_Serge Ibaka,OREB_Thanasis Antetokounmpo,OREB_Wesley Matthews,DREB_AJ Green,DREB_Bobby Portis,DREB_Brook Lopez,DREB_George Hill,DREB_Giannis Antetokounmpo,DREB_Grayson Allen,DREB_Jevon Carter,DREB_Joe Ingles,DREB_Jordan Nwora,DREB_Jrue Holiday,DREB_Khris Middleton,DREB_MarJon Beauchamp,DREB_Pat Connaughton,DREB_Sandro Mamukelashvili,DREB_Serge Ibaka,DREB_Thanasis Antetokounmpo,DREB_Wesley Matthews,REB_AJ Green,REB_Bobby Portis,REB_Brook Lopez,REB_George Hill,REB_Giannis Antetokounmpo,REB_Grayson Allen,REB_Jevon Carter,REB_Joe Ingles,REB_Jordan Nwora,REB_Jrue Holiday,REB_Khris Middleton,REB_MarJon Beauchamp,REB_Pat Connaughton,REB_Sandro Mamukelashvili,REB_Serge Ibaka,REB_Thanasis Antetokounmpo,REB_Wesley Matthews,AST_AJ Green,AST_Bobby Portis,AST_Brook Lopez,AST_George Hill,AST_Giannis Antetokounmpo,AST_Grayson Allen,AST_Jevon Carter,AST_Joe Ingles,AST_Jordan Nwora,AST_Jrue Holiday,AST_Khris Middleton,AST_MarJon Beauchamp,AST_Pat Connaughton,AST_Sandro Mamukelashvili,AST_Serge Ibaka,AST_Thanasis Antetokounmpo,AST_Wesley Matthews,STL_AJ Green,STL_Bobby Portis,STL_Brook Lopez,STL_George Hill,STL_Giannis Antetokounmpo,STL_Grayson Allen,STL_Jevon Carter,STL_Joe Ingles,STL_Jordan Nwora,STL_Jrue Holiday,STL_Khris Middleton,STL_MarJon Beauchamp,STL_Pat Connaughton,STL_Sandro Mamukelashvili,STL_Serge Ibaka,STL_Thanasis Antetokounmpo,STL_Wesley Matthews,BLK_AJ Green,BLK_Bobby Portis,BLK_Brook Lopez,BLK_George Hill,BLK_Giannis Antetokounmpo,BLK_Grayson Allen,BLK_Jevon Carter,BLK_Joe Ingles,BLK_Jordan Nwora,BLK_Jrue Holiday,BLK_Khris Middleton,BLK_MarJon Beauchamp,BLK_Pat Connaughton,BLK_Sandro Mamukelashvili,BLK_Serge Ibaka,BLK_Thanasis Antetokounmpo,BLK_Wesley Matthews,TO_AJ Green,TO_Bobby Portis,TO_Brook Lopez,TO_George Hill,TO_Giannis Antetokounmpo,TO_Grayson Allen,TO_Jevon Carter,TO_Joe Ingles,TO_Jordan Nwora,TO_Jrue Holiday,TO_Khris Middleton,TO_MarJon Beauchamp,TO_Pat Connaughton,TO_Sandro Mamukelashvili,TO_Serge Ibaka,TO_Thanasis Antetokounmpo,TO_Wesley Matthews,PF_AJ Green,PF_Bobby Portis,PF_Brook Lopez,PF_George Hill,PF_Giannis Antetokounmpo,PF_Grayson Allen,PF_Jevon Carter,PF_Joe Ingles,PF_Jordan Nwora,PF_Jrue Holiday,PF_Khris Middleton,PF_MarJon Beauchamp,PF_Pat Connaughton,PF_Sandro Mamukelashvili,PF_Serge Ibaka,PF_Thanasis Antetokounmpo,PF_Wesley Matthews,PTS_AJ Green,PTS_Bobby Portis,PTS_Brook Lopez,PTS_George Hill,PTS_Giannis Antetokounmpo,PTS_Grayson Allen,PTS_Jevon Carter,PTS_Joe Ingles,PTS_Jordan Nwora,PTS_Jrue Holiday,PTS_Khris Middleton,PTS_MarJon Beauchamp,PTS_Pat Connaughton,PTS_Sandro Mamukelashvili,PTS_Serge Ibaka,PTS_Thanasis Antetokounmpo,PTS_Wesley Matthews,PTS_OPP,FGM_OPP,FGA_OPP,FG_PCT_OPP,FG3M_OPP,FG3A_OPP,FG3_PCT_OPP,FTM_OPP,FTA_OPP,FT_PCT_OPP,OREB_OPP,DREB_OPP,REB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0041800306,Away,L,240,94,30,75,0.4,12,34,0.353,22,31,0.71,12,30,42,19,7,7,11,22,-6.0,,,5.0,4.0,7.0,,,,,,5.0,,0.0,,,,,,,12.0,10.0,18.0,,,,,,13.0,,0.0,,,,,,,0.417,0.4,0.389,,,,,,0.385,,0.0,,,,,,,0.0,1.0,2.0,,,,,,4.0,,0.0,,,,,,,3.0,5.0,5.0,,,,,,8.0,,0.0,,,,,,,0.0,0.2,0.4,,,,,,0.5,,0.0,,,,,,,8.0,1.0,5.0,,,,,,0.0,,0.0,,,,,,,9.0,2.0,10.0,,,,,,0.0,,0.0,,,,,,,0.889,0.5,0.5,,,,,,0.0,,0.0,,,,,,,2.0,1.0,3.0,,,,,,1.0,,0.0,,,,,,,7.0,1.0,8.0,,,,,,3.0,,2.0,,,,,,,9.0,2.0,11.0,,,,,,4.0,,2.0,,,,,,,1.0,3.0,4.0,,,,,,0.0,,1.0,,,,,,,0.0,2.0,2.0,,,,,,0.0,,1.0,,,,,,,3.0,0.0,3.0,,,,,,0.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,2.0,,0.0,,,,,,,1.0,2.0,4.0,,,,,,3.0,,2.0,,,,,,,18.0,10.0,21.0,,,,,,14.0,,0.0,,,,,100,36,74,0.486,12,27,0.444,16,22,0.727,6,32,38,20,7,4,10,24
0041800305,Home,L,240,99,38,84,0.452,10,31,0.323,13,18,0.722,8,45,53,26,2,2,11,22,-6.0,,,7.0,5.0,9.0,,,,,,2.0,,1.0,,,,,,,12.0,8.0,18.0,,,,,,9.0,,1.0,,,,,,,0.583,0.625,0.5,,,,,,0.222,,1.0,,,,,,,1.0,2.0,2.0,,,,,,0.0,,1.0,,,,,,,4.0,4.0,3.0,,,,,,2.0,,1.0,,,,,,,0.25,0.5,0.667,,,,,,0.0,,1.0,,,,,,,1.0,0.0,4.0,,,,,,2.0,,0.0,,,,,,,1.0,0.0,9.0,,,,,,2.0,,0.0,,,,,,,1.0,0.0,0.444,,,,,,1.0,,0.0,,,,,,,1.0,1.0,1.0,,,,,,2.0,,0.0,,,,,,,7.0,7.0,5.0,,,,,,8.0,,4.0,,,,,,,8.0,8.0,6.0,,,,,,10.0,,4.0,,,,,,,0.0,1.0,6.0,,,,,,10.0,,0.0,,,,,,,1.0,0.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,1.0,,,,,,0.0,,1.0,,,,,,,0.0,0.0,2.0,,,,,,2.0,,0.0,,,,,,,5.0,1.0,5.0,,,,,,4.0,,0.0,,,,,,,16.0,12.0,24.0,,,,,,6.0,,3.0,,,,,105,31,84,0.369,18,43,0.419,25,31,0.806,10,35,45,19,6,4,6,16
0041800304,Away,L,241,102,37,80,0.463,11,35,0.314,17,26,0.654,7,33,40,30,8,7,12,22,-18.0,,,3.0,1.0,9.0,,,,,,11.0,,1.0,,,,,,,5.0,2.0,17.0,,,,,,15.0,,4.0,,,,,,,0.6,0.5,0.529,,,,,,0.733,,0.25,,,,,,,2.0,1.0,1.0,,,,,,4.0,,1.0,,,,,,,3.0,2.0,3.0,,,,,,7.0,,3.0,,,,,,,0.667,0.5,0.333,,,,,,0.571,,0.333,,,,,,,0.0,2.0,6.0,,,,,,4.0,,0.0,,,,,,,0.0,2.0,10.0,,,,,,5.0,,0.0,,,,,,,0.0,1.0,0.6,,,,,,0.8,,0.0,,,,,,,0.0,1.0,2.0,,,,,,1.0,,0.0,,,,,,,2.0,4.0,8.0,,,,,,5.0,,2.0,,,,,,,2.0,5.0,10.0,,,,,,6.0,,2.0,,,,,,,3.0,3.0,5.0,,,,,,7.0,,2.0,,,,,,,1.0,2.0,1.0,,,,,,0.0,,0.0,,,,,,,1.0,0.0,3.0,,,,,,0.0,,1.0,,,,,,,1.0,0.0,4.0,,,,,,0.0,,1.0,,,,,,,5.0,1.0,3.0,,,,,,3.0,,0.0,,,,,,,8.0,5.0,25.0,,,,,,30.0,,3.0,,,,,120,41,87,0.471,14,41,0.341,24,27,0.889,10,34,44,32,9,5,11,23
0041800303,Away,L,291,112,38,102,0.373,14,44,0.318,22,33,0.667,13,50,63,22,14,5,20,30,-6.0,,,5.0,7.0,5.0,,,,,,3.0,,3.0,,,,,,,10.0,9.0,16.0,,,,,,16.0,,3.0,,,,,,,0.5,0.778,0.313,,,,,,0.188,,1.0,,,,,,,3.0,3.0,0.0,,,,,,1.0,,2.0,,,,,,,7.0,4.0,3.0,,,,,,6.0,,2.0,,,,,,,0.429,0.75,0.0,,,,,,0.167,,1.0,,,,,,,3.0,7.0,2.0,,,,,,2.0,,0.0,,,,,,,3.0,8.0,7.0,,,,,,4.0,,0.0,,,,,,,1.0,0.875,0.286,,,,,,0.5,,0.0,,,,,,,2.0,1.0,3.0,,,,,,2.0,,2.0,,,,,,,4.0,6.0,20.0,,,,,,7.0,,1.0,,,,,,,6.0,7.0,23.0,,,,,,9.0,,3.0,,,,,,,1.0,2.0,7.0,,,,,,3.0,,2.0,,,,,,,2.0,1.0,1.0,,,,,,1.0,,0.0,,,,,,,0.0,1.0,4.0,,,,,,0.0,,0.0,,,,,,,0.0,1.0,8.0,,,,,,3.0,,0.0,,,,,,,4.0,2.0,6.0,,,,,,5.0,,0.0,,,,,,,16.0,24.0,12.0,,,,,,9.0,,8.0,,,,,118,40,102,0.392,17,45,0.378,21,26,0.808,8,47,55,28,11,10,17,30
0041800302,Home,W,240,125,43,92,0.467,13,41,0.317,26,35,0.743,11,42,53,27,6,4,7,26,22.0,,,1.0,5.0,10.0,,,,,,5.0,,1.0,,,,,,,7.0,8.0,20.0,,,,,,8.0,,3.0,,,,,,,0.143,0.625,0.5,,,,,,0.625,,0.333,,,,,,,0.0,1.0,1.0,,,,,,2.0,,0.0,,,,,,,4.0,3.0,4.0,,,,,,3.0,,2.0,,,,,,,0.0,0.333,0.25,,,,,,0.667,,0.0,,,,,,,4.0,2.0,9.0,,,,,,0.0,,1.0,,,,,,,5.0,2.0,12.0,,,,,,0.0,,2.0,,,,,,,0.8,1.0,0.75,,,,,,0.0,,0.5,,,,,,,0.0,1.0,4.0,,,,,,1.0,,1.0,,,,,,,4.0,4.0,13.0,,,,,,0.0,,4.0,,,,,,,4.0,5.0,17.0,,,,,,1.0,,5.0,,,,,,,3.0,2.0,5.0,,,,,,1.0,,2.0,,,,,,,0.0,0.0,1.0,,,,,,0.0,,1.0,,,,,,,1.0,0.0,2.0,,,,,,0.0,,1.0,,,,,,,1.0,0.0,4.0,,,,,,0.0,,0.0,,,,,,,2.0,2.0,2.0,,,,,,5.0,,1.0,,,,,,,6.0,13.0,30.0,,,,,,12.0,,3.0,,,,,103,37,87,0.425,10,32,0.313,19,25,0.76,6,34,40,19,3,6,13,30
0041800301,Home,W,241,108,37,93,0.398,11,44,0.25,23,27,0.852,15,45,60,21,8,11,12,16,8.0,,,12.0,0.0,7.0,,,,,,4.0,,0.0,,,,,,,21.0,6.0,16.0,,,,,,12.0,,2.0,,,,,,,0.571,0.0,0.438,,,,,,0.333,,0.0,,,,,,,4.0,0.0,1.0,,,,,,1.0,,0.0,,,,,,,11.0,1.0,3.0,,,,,,6.0,,1.0,,,,,,,0.364,0.0,0.333,,,,,,0.167,,0.0,,,,,,,1.0,0.0,9.0,,,,,,2.0,,0.0,,,,,,,2.0,0.0,12.0,,,,,,2.0,,0.0,,,,,,,0.5,0.0,0.75,,,,,,1.0,,0.0,,,,,,,4.0,0.0,4.0,,,,,,0.0,,1.0,,,,,,,7.0,1.0,10.0,,,,,,11.0,,5.0,,,,,,,11.0,1.0,14.0,,,,,,11.0,,6.0,,,,,,,2.0,4.0,6.0,,,,,,4.0,,0.0,,,,,,,0.0,4.0,2.0,,,,,,1.0,,0.0,,,,,,,4.0,1.0,3.0,,,,,,0.0,,1.0,,,,,,,0.0,0.0,5.0,,,,,,4.0,,0.0,,,,,,,3.0,2.0,1.0,,,,,,4.0,,0.0,,,,,,,29.0,0.0,24.0,,,,,,11.0,,0.0,,,,,100,34,92,0.37,15,42,0.357,17,20,0.85,8,38,46,17,9,4,12,21
0041800205,Home,W,240,116,42,94,0.447,15,47,0.319,17,22,0.773,12,46,58,27,8,7,16,23,25.0,,,0.0,6.0,8.0,,,,,,5.0,,3.0,,,,,,,7.0,10.0,14.0,,,,,,15.0,,7.0,,,,,,,0.0,0.6,0.571,,,,,,0.333,,0.429,,,,,,,0.0,3.0,0.0,,,,,,2.0,,1.0,,,,,,,7.0,6.0,2.0,,,,,,6.0,,4.0,,,,,,,0.0,0.5,0.0,,,,,,0.333,,0.25,,,,,,,0.0,1.0,4.0,,,,,,7.0,,0.0,,,,,,,0.0,2.0,5.0,,,,,,7.0,,2.0,,,,,,,0.0,0.5,0.8,,,,,,1.0,,0.0,,,,,,,0.0,2.0,0.0,,,,,,0.0,,0.0,,,,,,,0.0,1.0,8.0,,,,,,8.0,,11.0,,,,,,,0.0,3.0,8.0,,,,,,8.0,,11.0,,,,,,,1.0,1.0,8.0,,,,,,5.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,1.0,,0.0,,,,,,,1.0,0.0,2.0,,,,,,0.0,,1.0,,,,,,,1.0,1.0,4.0,,,,,,2.0,,1.0,,,,,,,5.0,3.0,3.0,,,,,,4.0,,1.0,,,,,,,0.0,16.0,20.0,,,,,,19.0,,7.0,,,,,91,29,93,0.312,7,39,0.179,26,34,0.765,12,36,48,19,9,1,14,18
0041800204,Away,W,239,113,44,100,0.44,8,37,0.216,17,25,0.68,11,45,56,25,4,5,7,25,12.0,,,3.0,6.0,15.0,,,,,,4.0,,3.0,,,,,,,7.0,11.0,22.0,,,,,,19.0,,7.0,,,,,,,0.429,0.545,0.682,,,,,,0.211,,0.429,,,,,,,1.0,1.0,2.0,,,,,,2.0,,1.0,,,,,,,4.0,3.0,5.0,,,,,,10.0,,2.0,,,,,,,0.25,0.333,0.4,,,,,,0.2,,0.5,,,,,,,0.0,2.0,7.0,,,,,,3.0,,2.0,,,,,,,0.0,2.0,10.0,,,,,,3.0,,3.0,,,,,,,0.0,1.0,0.7,,,,,,1.0,,0.667,,,,,,,2.0,1.0,5.0,,,,,,0.0,,0.0,,,,,,,6.0,3.0,11.0,,,,,,3.0,,10.0,,,,,,,8.0,4.0,16.0,,,,,,3.0,,10.0,,,,,,,0.0,5.0,4.0,,,,,,7.0,,1.0,,,,,,,0.0,0.0,1.0,,,,,,1.0,,0.0,,,,,,,1.0,0.0,1.0,,,,,,0.0,,1.0,,,,,,,1.0,0.0,2.0,,,,,,2.0,,0.0,,,,,,,3.0,4.0,4.0,,,,,,4.0,,1.0,,,,,,,7.0,15.0,39.0,,,,,,13.0,,9.0,,,,,101,34,90,0.378,9,41,0.22,24,30,0.8,9,42,51,25,3,5,10,20
0041800203,Away,W,239,123,42,83,0.506,15,37,0.405,24,36,0.667,7,37,44,23,8,7,15,26,7.0,,,3.0,9.0,8.0,,,,,,6.0,,5.0,,,,,,,6.0,12.0,13.0,,,,,,12.0,,11.0,,,,,,,0.5,0.75,0.615,,,,,,0.5,,0.455,,,,,,,1.0,2.0,0.0,,,,,,3.0,,4.0,,,,,,,4.0,3.0,1.0,,,,,,6.0,,9.0,,,,,,,0.25,0.667,0.0,,,,,,0.5,,0.444,,,,,,,0.0,1.0,16.0,,,,,,5.0,,0.0,,,,,,,0.0,2.0,22.0,,,,,,6.0,,0.0,,,,,,,0.0,0.5,0.727,,,,,,0.833,,0.0,,,,,,,1.0,3.0,0.0,,,,,,0.0,,2.0,,,,,,,5.0,1.0,13.0,,,,,,4.0,,5.0,,,,,,,6.0,4.0,13.0,,,,,,4.0,,7.0,,,,,,,1.0,3.0,8.0,,,,,,5.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,3.0,,2.0,,,,,,,2.0,0.0,3.0,,,,,,0.0,,1.0,,,,,,,0.0,0.0,5.0,,,,,,5.0,,0.0,,,,,,,3.0,5.0,5.0,,,,,,3.0,,1.0,,,,,,,7.0,21.0,32.0,,,,,,20.0,,14.0,,,,,116,35,81,0.432,16,40,0.4,30,32,0.938,6,38,44,24,9,3,17,27
0041800202,Home,W,240,123,39,88,0.443,20,47,0.426,25,31,0.806,10,43,53,22,6,4,11,24,21.0,,,3.0,3.0,7.0,,,,,,10.0,,2.0,,,,,,,10.0,6.0,15.0,,,,,,18.0,,4.0,,,,,,,0.3,0.5,0.467,,,,,,0.556,,0.5,,,,,,,3.0,2.0,2.0,,,,,,7.0,,1.0,,,,,,,8.0,4.0,4.0,,,,,,10.0,,3.0,,,,,,,0.375,0.5,0.5,,,,,,0.7,,0.333,,,,,,,1.0,2.0,13.0,,,,,,1.0,,0.0,,,,,,,2.0,2.0,18.0,,,,,,1.0,,0.0,,,,,,,0.5,1.0,0.722,,,,,,1.0,,0.0,,,,,,,0.0,1.0,2.0,,,,,,0.0,,1.0,,,,,,,4.0,0.0,7.0,,,,,,7.0,,10.0,,,,,,,4.0,1.0,9.0,,,,,,7.0,,11.0,,,,,,,1.0,1.0,4.0,,,,,,1.0,,3.0,,,,,,,0.0,0.0,2.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,1.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,2.0,,,,,,1.0,,4.0,,,,,,,10.0,10.0,29.0,,,,,,28.0,,5.0,,,,,102,34,86,0.395,10,28,0.357,24,27,0.889,7,38,45,19,5,2,13,23
